non_terminal,&&,int,==,else,while,/,#,<=,|,<,>=,||,digit,bool,--,get,!,return,{,},get3,id,char,+,get2,-,<>,(,*,=,>,if,&,++,void,put,),",",;,$
全局变量闭包,,{'synch'},,,,,,,,,,,,{'synch'},,,,,,,,,{'synch'},,,,,,,,,,,,{'synch'},,,{'7'},{'8'},{'synch'}
函数参数实现或变量定义,,{'synch'},,,,,,,,,,,,{'synch'},,,,,,,,,{'synch'},,,,,{'5'},,,,,,,{'synch'},,,{'6'},{'6'},{'synch'}
参数闭包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'63'},{'62'},,
函数或声明列表,,{'1'},,,,,,,,,,,,{'1'},,,,,,,,,{'1'},,,,,,,,,,,,{'1'},,,,,{'2'}
赋值函数,,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,{'58'},,{'synch'},,{'synch'},{'58'},{'58'},{'synch'},,{'58'},,,,,,,{'synch'},,,{'synch'},{'58'},,,{'synch'},
多变量声明,,,,,,,,,,,,,,,,{'47'},,,,,{'47'},{'47'},,,{'47'},,,,,,,,,,,{'47'},,{'synch'},{'synch'},
if语句,,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,,,,,,{'80'},,,{'synch'},{'synch'},,,{'synch'},
因子,{'synch'},,{'synch'},,,,,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'29'},,,{'29'},,,,,{'29'},{'29'},,{'synch'},{'29'},{'synch'},{'synch'},{'29'},,,{'synch'},,{'synch'},,,{'29'},{'synch'},{'synch'},{'synch'},
else语句,,{'83'},,{'81'},{'83'},,,,,,,,,{'83'},,{'83'},,{'83'},,{'83'},{'83'},{'83'},{'83'},,{'83'},,,,,,,{'83'},,,{'83'},{'83'},,,"{'82', '83'}",
参数,,,,,,,,,,,,,{'65'},,,,,,,,,{'64'},,,,,,,,,,,,,,,{'synch'},{'synch'},,
函数或声明,,{'4'},,,,,,,,,,,,{'4'},,,,,,,,,{'4'},,,,,,,,,,,,{'4'},,,,,{'synch'}
赋值或函数调用,,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,,{'60'},,{'59'},,{'synch'},,,{'synch'},{'synch'},,,{'synch'},
后缀运算符,,,,,,,,,,,,,,,{'79'},,,,,,,,,,,,,,,,,,,{'78'},,,,,,
函数实现,,{'synch'},,,,,,,,,,,,{'synch'},,,,,{'9'},,,,{'synch'},,,,,,,,,,,,{'synch'},,,,{'10'},{'synch'}
赋初值,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'41'},,,,,,,{'42'},{'42'},{'42'},
声明,,{'40'},,,,,,,,,,,,{'40'},,,,,,,,,{'40'},,,,,,,,,,,,{'40'},,{'synch'},{'synch'},{'synch'},
逻辑运算符,{'75'},,{'71'},,,,,{'74'},,{'69'},{'72'},{'76'},{'synch'},,,{'synch'},,,,,{'synch'},{'synch'},,,{'synch'},,{'73'},{'synch'},,,{'70'},,,,,{'synch'},,,,
标志符,{'synch'},,{'synch'},,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,,{'synch'},,,,,,,{'21'},,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,,{'synch'},{'synch'},{'synch'},
表达式,{'synch'},,{'synch'},,,,,{'synch'},,{'synch'},{'synch'},{'synch'},{'28'},,,{'28'},,,,,{'28'},{'28'},,,{'28'},,{'synch'},{'28'},,,{'synch'},,,,,{'28'},{'synch'},{'synch'},{'synch'},
声明闭包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'45'},{'44'},,
多变量声明闭包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{'48'},{'49'},
函数调用参数,{'26'},,{'26'},,,{'26'},,{'26'},{'26'},{'26'},{'26'},{'26'},,,,,,,,,,,,{'26'},,{'26'},{'26'},{'25'},{'26'},,{'26'},,{'26'},,,,{'26'},{'26'},{'26'},
类型,,{'11'},,,,,,,,,,,,{'13'},,{'synch'},,,,,{'synch'},{'synch'},{'12'},,{'synch'},,,,,,,,,,{'14'},{'synch'},,,,
右值,,,,,,,,,,,,,{'43'},,,{'43'},,,,,{'43'},{'43'},,,{'43'},,,{'43'},,,,,,,,{'43'},{'synch'},{'synch'},{'synch'},
数字,{'synch'},,{'synch'},,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'27'},,,,,,,,,,,{'synch'},,{'synch'},{'synch'},,{'synch'},,{'synch'},,{'synch'},,,,{'synch'},{'synch'},{'synch'},
声明语句,,{'50'},,,{'synch'},,,,,,,,,{'50'},,{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},{'50'},,{'synch'},,,,,,,{'synch'},,,{'50'},{'synch'},,,{'synch'},
因式递归,{'32'},,{'32'},,,{'31'},,{'32'},{'32'},{'32'},{'32'},{'32'},,,,,,,,,,,,{'32'},,{'32'},{'32'},,{'30'},,{'32'},,{'32'},,,,{'32'},{'32'},{'32'},
空语句,,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,,,,,,{'synch'},,,{'synch'},{'synch'},,,{'85'},
标准库函数,{'synch'},,{'synch'},,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,,{'synch'},{'16'},,,,,{'18'},,,{'synch'},{'17'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,{'19'},{'synch'},{'synch'},{'synch'},
return语句,,{'synch'},,,{'synch'},,,,,,,,,{'synch'},,{'synch'},,{'84'},,{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,,,,,,{'synch'},,,{'synch'},{'synch'},,,{'synch'},
后缀表达式,,,,,,,,,,,,,,,,{'77'},,,,,{'77'},{'77'},,,{'77'},,,,,,,,,,,{'77'},,,,
程序,,{'0'},,,,,,,,,,,,{'0'},,,,,,,,,{'0'},,,,,,,,,,,,{'0'},,,,,{'0'}
参数声明,,{'38'},,,,,,,,,,,,{'38'},,,,,,,,,{'38'},,,,,,,,,,,,{'38'},,{'39'},,,
函数块闭包,,{'51'},,,{'53'},,,,,,,,,{'51'},,{'52'},,{'56'},,{'57'},{'52'},{'52'},{'51'},,{'52'},,,,,,,{'54'},,,{'51'},{'52'},,,{'55'},
while循环,,{'synch'},,,{'66'},,,,,,,,,{'synch'},,{'synch'},,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},,,,,,,{'synch'},,,{'synch'},{'synch'},,,{'synch'},
逻辑表达式,,,,,,,,,,,,,{'68'},,,{'68'},{'67'},,,,{'68'},{'68'},,,{'68'},,,{'68'},,,,,,,,{'68'},{'synch'},,,
变量,{'synch'},,{'synch'},,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,,{'synch'},{'15'},,,,,{'15'},{'20'},,{'synch'},{'15'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},,{'synch'},{'synch'},,{'15'},{'synch'},{'synch'},{'synch'},
因式,{'synch'},,{'synch'},,,{'synch'},,{'synch'},{'synch'},{'synch'},{'synch'},{'synch'},{'24'},,,{'23'},,,,,{'23'},{'23'},,{'synch'},{'23'},{'synch'},{'synch'},{'22'},{'synch'},,{'synch'},,{'synch'},,,{'23'},{'synch'},{'synch'},{'synch'},
类型变量,,{'3'},,,,,,,,,,,,{'3'},,,,,,,,,{'3'},,,,,{'synch'},,,,,,,{'3'},,,{'synch'},{'synch'},
函数块,,{'46'},,,{'46'},,,,,,,,,{'46'},,{'46'},,{'46'},,{'46'},{'46'},{'46'},{'46'},,{'46'},,,,,,,{'46'},,,{'46'},{'46'},,,{'46'},
参数列表,,,,,,,,,,,,,{'61'},,,,,,,,,{'61'},,,,,,,,,,,,,,,{'synch'},,,
项,{'37'},,{'37'},,,,,{'37'},{'36'},{'37'},{'37'},{'37'},,,,,,,,,,,,{'33'},,{'34'},{'37'},,,,{'37'},,{'35'},,,,{'37'},{'37'},{'37'},
